,players,items,range,repeat,obs,runtime,diff
0,2,10,100,0,50, 3.936, 0.039
1,2,10,100,0,75, 5.291, 0.035
2,2,10,100,0,100, 6.466, 0.035
3,2,10,500,0,50, 3.508, 0.030
4,2,10,500,0,75, 4.733, 0.025
5,2,10,500,0,100, 6.732, 0.025
6,2,25,100,0,50,72.475, 0.024
7,2,25,100,0,75,74.283, 0.009
8,2,25,100,0,100,84.268, 0.001
9,2,25,500,0,50,104.927, 0.016
10,2,25,500,0,75,119.621, 0.008
11,2,25,500,0,100,133.386, 0.008
12,3,10,100,0,50, 7.791, 0.087
13,3,10,100,0,75,11.378, 0.101
14,3,10,100,0,100,14.036, 0.091
15,3,10,500,0,50, 8.130, 0.074
16,3,10,500,0,75,10.696, 0.056
17,3,10,500,0,100,13.448, 0.058
18,3,25,100,0,50,128.141, 0.047
19,3,25,100,0,75,141.822, 0.024
20,3,25,100,0,100,144.833, 0.007
21,3,25,500,0,50,200.954, 0.049
22,3,25,500,0,75,204.333, 0.040
23,3,25,500,0,100,239.513, 0.029
