items,range,avg,sdev,min,max,change
100,500, 0.158, 0.036, 0.123, 0.234, 0.001
100,1000, 0.163, 0.040, 0.123, 0.294, 0.001
100,5000, 0.192, 0.105, 0.124, 0.683, 0.002
500,500, 0.876, 0.340, 0.603, 1.824, 0.000
500,1000, 0.699, 0.164, 0.599, 1.483, 0.000
500,5000, 0.863, 0.407, 0.592, 2.122, 0.000
1000,500, 1.279, 0.076, 1.187, 1.463, 0.000
1000,1000, 1.400, 0.700, 1.193, 5.140, 0.000
1000,5000, 1.214, 0.029, 1.182, 1.292, 0.000
5000,500, 6.054, 0.148, 5.875, 6.327, 0.000
5000,1000, 5.900, 0.480, 4.665, 6.220, 0.000
5000,5000, 4.900, 0.188, 4.529, 5.269, 0.000
10000,500, 9.736, 0.301, 9.273,10.510, 0.000
10000,1000, 9.645, 0.141, 9.394, 9.851, 0.000
10000,5000, 9.663, 0.144, 9.393, 9.995, 0.000
