players,items,range,avg,sdev,min,max,inf,change
2,100,500, 0.419, 0.013, 0.400, 0.455,0, 0.000
2,100,1000, 0.421, 0.008, 0.408, 0.442,0, 0.000
2,500,500, 2.018, 0.037, 1.961, 2.092,0, 0.000
2,500,1000, 2.047, 0.027, 1.998, 2.102,0, 0.000
2,1000,500, 4.075, 0.075, 3.975, 4.300,0, 0.000
2,1000,1000, 4.058, 0.124, 3.915, 4.296,0, 0.000
3,100,500, 0.897, 0.016, 0.873, 0.952,0, 0.000
3,100,1000, 0.901, 0.020, 0.866, 0.942,0, 0.000
3,500,500, 4.291, 0.094, 4.190, 4.616,0, 0.000
3,500,1000, 4.241, 0.085, 4.082, 4.475,0, 0.000
3,1000,500, 8.458, 0.394, 7.925, 9.420,0, 0.000
3,1000,1000, 8.596, 0.343, 7.898, 9.431,0, 0.000
4,100,500, 1.438, 0.028, 1.387, 1.511,0, 0.000
4,100,1000, 1.424, 0.035, 1.379, 1.529,0, 0.000
4,500,500, 6.735, 0.129, 6.565, 7.082,0, 0.000
4,500,1000, 6.830, 0.196, 6.592, 7.318,0, 0.000
4,1000,500,13.906, 0.520,13.227,15.084,0, 0.000
4,1000,1000,14.422, 0.581,13.612,16.200,0, 0.000
