players,items,range,avg,sdev,min,max,inf,change
2,100,500, 0.316, 0.033, 0.284, 0.463,0, 0.000
2,100,1000, 0.301, 0.011, 0.283, 0.321,0, 0.000
2,500,500, 1.271, 0.029, 1.230, 1.339,0, 0.000
2,500,1000, 1.265, 0.021, 1.232, 1.329,0, 0.000
2,1000,500, 2.464, 0.038, 2.402, 2.587,0, 0.000
2,1000,1000, 2.481, 0.094, 2.361, 2.837,0, 0.000
3,100,500, 0.500, 0.029, 0.462, 0.592,0, 0.000
3,100,1000, 0.494, 0.026, 0.456, 0.556,0, 0.000
3,500,500, 1.918, 0.055, 1.827, 2.076,0, 0.000
3,500,1000, 1.900, 0.041, 1.845, 1.988,0, 0.000
3,1000,500, 3.975, 0.190, 3.720, 4.362,0, 0.000
3,1000,1000, 3.885, 0.173, 3.695, 4.417,0, 0.000
4,100,500, 0.689, 0.030, 0.649, 0.750,0, 0.000
4,100,1000, 0.702, 0.055, 0.612, 0.855,0, 0.000
4,500,500, 2.726, 0.095, 2.586, 2.990,0, 0.000
4,500,1000, 2.728, 0.110, 2.530, 3.120,0, 0.000
4,1000,500, 5.470, 0.276, 5.180, 6.548,0, 0.000
4,1000,1000, 5.440, 0.270, 5.084, 6.392,0, 0.000
