,n,r,avg,sdev,min,max
0,100,1000,0.16901016235351562,0.016905784606933594,0.15210437774658203,0.18591594696044922
1,100,5000,0.18077993392944336,0.03429388999938965,0.1464860439300537,0.215073823928833
2,100,10000,0.18594396114349365,0.03803098201751709,0.14791297912597656,0.22397494316101074
3,500,1000,0.6439206600189209,0.01480245590209961,0.6291182041168213,0.6587231159210205
4,500,5000,3.7317579984664917,2.2744232416152954,1.4573347568511963,6.006181240081787
5,500,10000,1.1097679138183594,0.47651100158691406,0.6332569122314453,1.5862789154052734
6,1000,1000,1.3046616315841675,0.08320128917694092,1.2214603424072266,1.3878629207611084
7,1000,5000,1.2347630262374878,0.03617393970489502,1.1985890865325928,1.2709369659423828
8,1000,10000,1.206050992012024,0.0020231008529663086,1.2040278911590576,1.2080740928649902
9,5000,1000,5.948976516723633,0.008805513381958008,5.940171003341675,5.957782030105591
10,5000,5000,5.974663734436035,0.00079345703125,5.973870277404785,5.975457191467285
11,5000,10000,5.969748258590698,0.001394510269165039,5.968353748321533,5.971142768859863
12,10000,1000,11.989550352096558,0.0068204402923583984,11.9827299118042,11.996370792388916
13,10000,5000,12.157920956611633,0.03476607799530029,12.123154878616333,12.192687034606934
14,10000,10000,12.09904158115387,0.04143059253692627,12.057610988616943,12.140472173690796
