,items,range,avg,sdev,min,max,change
0,100,500,  0.127,  0.030,  0.096,  0.185,  0.000
1,100,1000,  0.131,  0.034,  0.097,  0.245,  0.000
2,100,5000,  0.151,  0.089,  0.095,  0.576,  0.000
3,500,500,  0.684,  0.274,  0.475,  1.450,  0.000
4,500,1000,  0.557,  0.129,  0.466,  1.162,  0.000
5,500,5000,  0.690,  0.324,  0.465,  1.698,  0.000
6,1000,500,  1.027,  0.067,  0.933,  1.193,  0.000
7,1000,1000,  1.091,  0.563,  0.932,  4.105,  0.000
8,1000,5000,  0.968,  0.024,  0.925,  1.038,  0.000
9,5000,500,  4.726,  0.065,  4.629,  4.912,  0.000
10,5000,1000,  4.650,  0.056,  4.576,  4.824,  0.000
11,5000,5000,  4.633,  0.073,  4.554,  4.813,  0.000
12,10000,500,  9.420,  0.172,  9.145,  9.810,  0.000
13,10000,1000,135.192,623.724,  9.032,3483.237,  0.000
14,10000,5000, 46.546,199.683,  9.080,1121.871,  0.000
