,items,range,avg,sdev,min,max,change
0,100,500,     0.197,     0.191,     0.069,     1.017,     0.000
1,100,1000,     0.229,     0.268,     0.069,     1.240,     0.000
2,100,5000,     0.247,     0.285,     0.067,     1.282,     0.000
3,500,500,     0.729,     0.595,     0.351,     3.381,     0.000
4,500,1000,     1.393,     2.062,     0.331,    10.270,     0.000
5,500,5000,     0.638,     0.487,     0.342,     2.384,     0.000
6,1000,500,     0.846,     0.319,     0.662,     2.300,     0.000
7,1000,1000,     0.857,     0.320,     0.661,     2.325,     0.000
8,1000,5000,     0.740,     0.132,     0.654,     1.265,     0.000
9,5000,500,     3.349,     0.057,     3.273,     3.522,     0.000
10,5000,1000,     3.293,     0.062,     3.218,     3.533,     0.000
11,5000,5000,     3.277,     0.040,     3.214,     3.355,     0.000
12,10000,500,     6.653,     0.137,     6.461,     7.054,     0.000
13,10000,1000,     6.465,     0.056,     6.372,     6.638,     0.000
14,10000,5000,     6.698,     0.166,     6.369,     6.974,     0.000
