,players,items,range,avg,sdev,min,max,inf,change
0,2,50,250,     0.257,     0.031,     0.208,     0.375,0,     0.011
1,2,50,500,     0.268,     0.036,     0.218,     0.357,0,     0.009
2,2,100,250,     0.761,     0.157,     0.528,     1.124,0,     0.009
3,2,100,500,     0.749,     0.137,     0.492,     1.155,0,     0.009
4,2,250,250,     4.125,     3.551,     1.412,    15.311,0,     0.008
5,2,250,500,     2.684,     1.302,     1.640,     7.210,0,     0.008
6,3,50,250,     0.564,     0.090,     0.454,     0.876,0,     0.013
7,3,50,500,     0.568,     0.090,     0.439,     0.913,0,     0.011
8,3,100,250,     1.507,     0.285,     1.128,     2.347,0,     0.011
9,3,100,500,     1.586,     0.302,     1.086,     2.288,0,     0.011
10,3,250,250,    15.396,    12.084,     4.224,    42.566,0,     0.010
11,3,250,500,    10.743,     6.857,     3.860,    37.382,0,     0.010
