,players,items,range,avg,sdev,min,max,inf,change
0,2,100,1000,  0.206,  0.011,  0.192,  0.238,0,  0.000
1,2,100,5000,  0.214,  0.009,  0.193,  0.231,0,  0.000
2,2,500,1000,  0.914,  0.025,  0.879,  0.971,0,  0.000
3,2,500,5000,  0.912,  0.026,  0.883,  1.003,0,  0.000
4,2,1000,1000,  1.838,  0.042,  1.756,  1.919,0,  0.000
5,2,1000,5000,  1.782,  0.034,  1.747,  1.860,0,  0.000
6,2,5000,1000,  8.767,  0.105,  8.601,  9.068,0,  0.000
7,2,5000,5000,  8.777,  0.070,  8.613,  8.916,0,  0.000
8,3,100,1000,  0.310,  0.006,  0.297,  0.327,0,  0.000
9,3,100,5000,  0.322,  0.008,  0.309,  0.339,0,  0.000
10,3,500,1000,  1.350,  0.018,  1.322,  1.396,0,  0.000
11,3,500,5000,  1.382,  0.022,  1.339,  1.422,0,  0.000
12,3,1000,1000,  2.723,  0.033,  2.670,  2.786,0,  0.000
13,3,1000,5000,  2.681,  0.032,  2.602,  2.725,0,  0.000
14,3,5000,1000, 13.155,  0.127, 12.905, 13.391,0,  0.000
15,3,5000,5000, 23.511, 55.715, 12.849,323.544,0,  0.000
