players,items,range,avg,sdev,min,max,inf,change
2,500,250,  0.902,  0.011,  0.891,  0.946,0,  0.000
2,500,500,  0.909,  0.016,  0.890,  0.946,0,  0.000
2,1000,250,  1.844,  0.027,  1.810,  1.914,0,  0.000
2,1000,500,  1.846,  0.019,  1.821,  1.913,0,  0.000
2,5000,250,  8.841,  0.079,  8.717,  9.041,0,  0.000
2,5000,500,  8.790,  0.112,  8.623,  9.140,0,  0.000
3,500,250,  1.349,  0.008,  1.329,  1.374,0,  0.000
3,500,500,  1.350,  0.010,  1.334,  1.368,0,  0.000
3,1000,250,  2.757,  0.043,  2.697,  2.837,0,  0.000
3,1000,500,  2.746,  0.019,  2.707,  2.806,0,  0.000
3,5000,250, 13.085,  0.058, 12.953, 13.213,0,  0.000
3,5000,500, 13.208,  0.165, 12.950, 13.621,0,  0.000
